country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,979000000,2020000000,2140000000,2480000000,2440000000,2490000000,2580000000,2590000000,2530000000,2600000000,2600000000,2750000000,2680000000,2660000000
Albania,,,,,,,,,,,,,,,,,,,,,,511000000,633000000,786000000,883000000,459000000,492000000,516000000,624000000,773000000,1120000000,1150000000,1180000000,1550000000,1600000000,2130000000,2520000000,2970000000,4260000000,4610000000,5440000000,6480000000,7380000000,8650000000,8510000000,8450000000,8520000000,9800000000,9870000000,9630000000
Algeria,940000000,1260000000,1550000000,2990000000,3370000000,4630000000,6110000000,10600000000,15700000000,18500000000,19400000000,18400000000,17600000000,16400000000,15900000000,18300000000,22600000000,24400000000,26100000000,27200000000,28200000000,28500000000,27400000000,26300000000,30200000000,33000000000,33700000000,30900000000,30700000000,28200000000,25500000000,22700000000,23000000000,23800000000,22400000000,17100000000,5900000000,6130000000,6240000000,7410000000,7250000000,6050000000,5520000000,5250000000,5520000000,4670000000,5460000000,5710000000,5710000000,5490000000
Angola,,,,,,,,,,,,,,,,,,,,7290000000,8590000000,9000000000,10100000000,10600000000,11300000000,11500000000,10500000000,9950000000,10800000000,10700000000,9760000000,8780000000,9110000000,9100000000,9790000000,12200000000,9890000000,11900000000,15500000000,20200000000,26600000000,34000000000,44300000000,54900000000,56900000000,56300000000,56800000000,50900000000,51900000000,52500000000
Argentina,5890000000,6350000000,6890000000,7370000000,7800000000,7900000000,9500000000,11700000000,13500000000,21200000000,27300000000,35800000000,43800000000,46100000000,49100000000,51200000000,52700000000,58700000000,59000000000,65500000000,62500000000,65700000000,68600000000,64700000000,75100000000,98800000000,1.11E+11,1.28E+11,1.42E+11,1.52E+11,1.5E+11,1.53E+11,1.48E+11,1.63E+11,1.68E+11,1.31E+11,1.19E+11,1.21E+11,1.3E+11,1.34E+11,1.27E+11,1.43E+11,1.4E+11,1.5E+11,1.54E+11,1.77E+11,1.89E+11,2.37E+11,2.84E+11,2.79E+11
Armenia,,,,,,,,,,,,,,,,,,,,,,,,134000000,214000000,371000000,521000000,638000000,804000000,1020000000,1020000000,1410000000,1720000000,2000000000,2110000000,1970000000,2140000000,3080000000,3610000000,4930000000,6310000000,7410000000,7640000000,8680000000,8560000000,8830000000,9860000000,10200000000,10700000000,11900000000
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,35500000,113000000,321000000,438000000,508000000,707000000,1290000000,1590000000,1520000000,1690000000,1940000000,2170000000,2250000000,2800000000,3900000000,4490000000,4550000000,7250000000,7690000000,10800000000,10600000000,12100000000,13300000000,14600000000,15300000000,16200000000,15800000000
Bangladesh,,,147000000,498000000,1260000000,1680000000,1990000000,2330000000,2820000000,2970000000,3800000000,4210000000,4940000000,5350000000,5540000000,6530000000,7910000000,9740000000,10300000000,10700000000,12300000000,13000000000,13400000000,14100000000,15500000000,15700000000,15200000000,14300000000,15500000000,16400000000,15600000000,15000000000,16700000000,18400000000,19700000000,18500000000,20200000000,21500000000,23300000000,25400000000,26600000000,27000000000,28300000000,31500000000,32700000000,36000000000,38500000000,46800000000,52100000000,57100000000
Belarus,,,,,,,,,,,,,,,,,,,,,,,,968000000,1300000000,1690000000,1960000000,2080000000,2390000000,2700000000,2620000000,2800000000,3400000000,3780000000,4600000000,5300000000,6560000000,12500000000,15200000000,22100000000,28400000000,33900000000,33800000000,39600000000,40000000000,38300000000,37500000000,39600000000,38800000000,40700000000
Belize,4080000,4340000,5070000,4830000,5270000,4830000,9170000,20700000,33300000,71800000,63000000,60200000,69800000,101000000,98800000,118000000,122000000,137000000,132000000,137000000,143000000,162000000,181000000,195000000,199000000,255000000,282000000,450000000,333000000,417000000,630000000,722000000,850000000,1060000000,966000000,1020000000,1050000000,1080000000,1280000000,1290000000,1300000000,1270000000,1200000000,1250000000,1290000000,1280000000,1290000000,1340000000,1350000000,1380000000
